Player in-game name (IGN),CM Group,A or B Finals?,Finals race result,Own Team - Uma 1,Own team - Uma 1 - Running Style,Own team - Uma 1 - Role,Own Team - Uma 2,Own team - Uma 2 - Running Style,Own team - Uma 2 - Role,Own Team - Uma 3,Own team - Uma 3 - Running Style,Own team - Uma 3 - Role,,,,,,,,,,,,,,Uma 1,Uma2,Uma3
BelmontX,Graded (No Limit),B Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
jklio,Graded (No Limit),A Finals,2nd,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Steambuns,Graded (No Limit),A Finals,1st,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Leftar,Graded (No Limit),A Finals,1st,Air Groove (Wedding),Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Air Groove (Wedding) - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Seira,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Heyemi,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Smart Falcon,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Smart Falcon - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
nasa,Graded (No Limit),A Finals,3rd,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Enabler,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Enabler,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Kerwin,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Acce,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Schmaxim,Graded (No Limit),A Finals,1st,Mayano Top Gun,Front Runner,Unity Cup Scenario Ace,Air Groove (Wedding),Pace Chaser,challenge maya at the later half of the final corner or force other pace wide,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mayano Top Gun - Front Runner - Unity Cup Scenario Ace,Air Groove (Wedding) - Pace Chaser - challenge maya at the later half of the final corner or force other pace wide,Oguri Cap - Late Surger - Unity Cup Scenario Ace
skyline,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,The gambler,Air Groove,Late Surger,The gambler,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - The gambler,Air Groove - Late Surger - The gambler
Lumille,Graded (No Limit),A Finals,1st,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace,Gold Ship - End Closer - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Spectrum,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,Vodka,Late Surger,URA Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker,Vodka - Late Surger - URA Scenario Ace
Spitfire,Graded (No Limit),A Finals,3rd,Gold City,Late Surger,Unity Cup Scenario Ace,Daiwa Scarlet,Front Runner,Front Blocker,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold City - Late Surger - Unity Cup Scenario Ace,Daiwa Scarlet - Front Runner - Front Blocker,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Krazen,Graded (No Limit),A Finals,2nd,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Mihono Bourbon,Front Runner,Unity Cup Scenario Ace,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Mihono Bourbon - Front Runner - Unity Cup Scenario Ace,Silence Suzuka - Front Runner - Unity Cup Scenario Ace
Amy,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace
Dyllyn,Graded (No Limit),A Finals,2nd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Sum,Graded (No Limit),B Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Gold Ship - End Closer - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
okMouzzy,Graded (No Limit),A Finals,1st,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace
Pao,Graded (No Limit),A Finals,1st,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Late Surger - Unity Cup Scenario Ace
Kalamariy,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Front Runner - Unity Cup Scenario Ace
J_,Graded (No Limit),A Finals,1st,Gold City,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Just threw team trial horse on to fill the slot ,,,,,,,,,,,,,,Gold City - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Just threw team trial horse on to fill the slot 
Vali,Graded (No Limit),A Finals,3rd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Fuji Kiseki,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Fuji Kiseki - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Mallalio,Graded (No Limit),B Finals,2nd,Tokai Teio (Anime),Pace Chaser,Unity Cup Scenario Ace,El Condor Pasa,Late Surger,Troll ,Daiwa Scarlet,Front Runner,Front Blocker,,,,,,,,,,,,,,Tokai Teio (Anime) - Pace Chaser - Unity Cup Scenario Ace,El Condor Pasa - Late Surger - Troll ,Daiwa Scarlet - Front Runner - Front Blocker
Sumic ,Graded (No Limit),A Finals,1st,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Lurk,Open (B And Below),A Finals,2nd,Silence Suzuka,Runaway/Oonige,URA Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,URA Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - URA Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - URA Scenario Ace
DavedT,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Bomragon,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Haruru,Graded (No Limit),A Finals,1st,Symboli Rudolf,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Symboli Rudolf - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
AnisFumo,Graded (No Limit),A Finals,3rd,Curren Chan,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Agnes Digital,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Curren Chan - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Agnes Digital - Late Surger - Unity Cup Scenario Ace
Bocc,Graded (No Limit),A Finals,2nd,Narita Taishin,End Closer,Unity Cup Scenario Ace,Meisho Doto,Pace Chaser,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - End Closer - Unity Cup Scenario Ace,Meisho Doto - Pace Chaser - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace
Horsemaster,Graded (No Limit),B Finals,1st,Daiwa Scarlet,Front Runner,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
RZ8,Graded (No Limit),A Finals,1st,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,Seiun Sky,Front Runner,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace,Seiun Sky - Front Runner - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace
sugoi,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
Tofu,Graded (No Limit),A Finals,3rd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,El Condor Pasa,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,El Condor Pasa - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
cavemanDi,Graded (No Limit),A Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Hearth Flame,Graded (No Limit),B Finals,3rd,Air Groove (Wedding),Pace Chaser,Unity Cup Scenario Ace,Grass Wonder,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Air Groove (Wedding) - Pace Chaser - Unity Cup Scenario Ace,Grass Wonder - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
explorde,Graded (No Limit),B Finals,2nd,Gold Ship,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Gold Ship - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Fretz,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
Mira,Graded (No Limit),A Finals,3rd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
ArkExeon,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Oguri Cap - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Kalle,Graded (No Limit),A Finals,1st,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace
LemOFFs,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,TM Opera O - Pace Chaser - Unity Cup Scenario Ace
Rei,Graded (No Limit),A Finals,3rd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace
Wisp,Graded (No Limit),A Finals,2nd,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Oguri Cap,Late Surger,Unity Cup Scenario Ace,El Condor Pasa,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Oguri Cap - Late Surger - Unity Cup Scenario Ace,El Condor Pasa - Pace Chaser - Unity Cup Scenario Ace
Tanchou,Graded (No Limit),A Finals,1st,TM Opera O,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,TM Opera O - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Meatboll,Graded (No Limit),A Finals,1st,Silence Suzuka,Runaway/Oonige,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Chaotic,Graded (No Limit),A Finals,1st,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker,Vodka - Late Surger - Unity Cup Scenario Ace
vgolfer,Graded (No Limit),A Finals,3rd,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,URA Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - URA Scenario Ace
eas,Graded (No Limit),A Finals,2nd,Rice Shower,Pace Chaser,Unity Cup Scenario Ace,Nice Nature,Late Surger,Unity Cup Scenario Ace,King Halo,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Rice Shower - Pace Chaser - Unity Cup Scenario Ace,Nice Nature - Late Surger - Unity Cup Scenario Ace,King Halo - Late Surger - Unity Cup Scenario Ace
Jiwa,Graded (No Limit),A Finals,2nd,Agnes Digital,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Agnes Digital - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Mycelium,Graded (No Limit),A Finals,2nd,Silence Suzuka,Runaway/Oonige,Front Blocker,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Silence Suzuka - Runaway/Oonige - Front Blocker,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Salkari,Graded (No Limit),B Finals,3rd,Fuji Kiseki,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Fuji Kiseki - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
W ! !,Graded (No Limit),A Finals,1st,Daiwa Scarlet,Pace Chaser,Unity Cup Scenario Ace,Narita Brian,Late Surger,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Daiwa Scarlet - Pace Chaser - Unity Cup Scenario Ace,Narita Brian - Late Surger - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace
Tiypo,Graded (No Limit),A Finals,3rd,Narita Taishin,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Narita Taishin - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
xizyl,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
Lipho,Graded (No Limit),B Finals,2nd,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Nyoki,Graded (No Limit),A Finals,1st,Maruzensky,Front Runner,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,El Condor Pasa (Fantasy),Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Maruzensky - Front Runner - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,El Condor Pasa (Fantasy) - Late Surger - Unity Cup Scenario Ace
mizuBP,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
Reinacchi,Graded (No Limit),A Finals,2nd,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mayano Top Gun,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mayano Top Gun - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
DBamma,Graded (No Limit),B Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace
Lucy,Graded (No Limit),A Finals,2nd,Vodka,Late Surger,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace
Ayame,Graded (No Limit),A Finals,1st,Oguri Cap,Late Surger,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,Maruzensky (Summer),Front Runner,Unity Cup Scenario Ace,,,,,,,,,,,,,,Oguri Cap - Late Surger - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace,Maruzensky (Summer) - Front Runner - Unity Cup Scenario Ace
Cedric,Graded (No Limit),B Finals,1st,Tokai Teio,Pace Chaser,Unity Cup Scenario Ace,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Vodka,Late Surger,Unity Cup Scenario Ace,,,,,,,,,,,,,,Tokai Teio - Pace Chaser - Unity Cup Scenario Ace,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Vodka - Late Surger - Unity Cup Scenario Ace
MBB,Graded (No Limit),A Finals,1st,Taiki Shuttle,Pace Chaser,Unity Cup Scenario Ace,Mejiro Ryan,Late Surger,Unity Cup Scenario Ace,Silence Suzuka,Runaway/Oonige,Front Blocker,,,,,,,,,,,,,,Taiki Shuttle - Pace Chaser - Unity Cup Scenario Ace,Mejiro Ryan - Late Surger - Unity Cup Scenario Ace,Silence Suzuka - Runaway/Oonige - Front Blocker
noside,Graded (No Limit),A Finals,1st,Vodka,Late Surger,Unity Cup Scenario Ace,Grass Wonder,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,,,,,,,,,Vodka - Late Surger - Unity Cup Scenario Ace,Grass Wonder - Late Surger - Unity Cup Scenario Ace,Narita Taishin - End Closer - Unity Cup Scenario Ace
